Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_B
Ni,R3_S3,R3,S3,Ni_R3_S3,4.392157809317963,-0.5099752426711592,3.8821825666468035,0.7949857513078188,-14.52249682154781,-11.436216997087984
Ni,R3_S4,R3,S4,Ni_R3_S4,4.392157809317963,-0.04030969745535305,4.35184811186261,0.7949857513078188,-14.52249682154781,-11.0628395807612
Ni,R3_S5,R3,S5,Ni_R3_S5,4.392157809317963,0.6168351220828026,5.0089929314007655,0.7949857513078188,-14.52249682154781,-10.540418812682619
Ni,R3_S6,R3,S6,Ni_R3_S6,4.392157809317963,-0.40730844598800536,3.9848493633299578,0.7949857513078188,-14.52249682154781,-11.35459835659246
Ni,R4_R5,R4,R5,Ni_R4_R5,-1.2635151902393214,-0.5718354612129694,-1.8353506514522908,0.7949857513078188,-14.52249682154781,-15.981574438105904
Ni,R4_R6,R4,R6,Ni_R4_R6,-1.2635151902393214,-0.561717064835037,-1.8252322550743583,0.7949857513078188,-14.52249682154781,-15.973530457159363
Ni,R4_R7,R4,R7,Ni_R4_R7,-1.2635151902393214,-1.55002389887471,-2.8135390891140313,0.7949857513078188,-14.52249682154781,-16.759220308141042
Ni,R4_R8,R4,R8,Ni_R4_R8,-1.2635151902393214,0.0303218676247531,-1.2331933226145682,0.7949857513078188,-14.52249682154781,-15.502867941634337
Ni,R4_R9,R4,R9,Ni_R4_R9,-1.2635151902393214,0.00535366903797795,-1.2581615212013435,0.7949857513078188,-14.52249682154781,-15.522717303746647
Ni,R4_S1,R4,S1,Ni_R4_S1,-1.2635151902393214,-5.12900551759937,-6.392520707838691,0.7949857513078188,-14.52249682154781,-19.604459699219742
Ni,R4_S2,R4,S2,Ni_R4_S2,-1.2635151902393214,0.662647055369742,-0.6008681348695794,0.7949857513078188,-14.52249682154781,-15.00017842718403
Ni,R4_S3,R4,S3,Ni_R4_S3,-1.2635151902393214,-0.5099752426711592,-1.7734904329104806,0.7949857513078188,-14.52249682154781,-15.932396445792376
Ni,R4_S4,R4,S4,Ni_R4_S4,-1.2635151902393214,-0.04030969745535305,-1.3038248876946743,0.7949857513078188,-14.52249682154781,-15.559019029465592
Ni,R4_S5,R4,S5,Ni_R4_S5,-1.2635151902393214,0.6168351220828026,-0.6466800681565188,0.7949857513078188,-14.52249682154781,-15.036598261387011
Ni,R4_S6,R4,S6,Ni_R4_S6,-1.2635151902393214,-0.40730844598800536,-1.6708236362273268,0.7949857513078188,-14.52249682154781,-15.850777805296852
Ni,R5_R6,R5,R6,Ni_R5_R6,-0.5718354612129694,-0.561717064835037,-1.1335525260480064,0.7949857513078188,-14.52249682154781,-15.42365492811496
Ni,R5_R7,R5,R7,Ni_R5_R7,-0.5718354612129694,-1.55002389887471,-2.1218593600876794,0.7949857513078188,-14.52249682154781,-16.20934477909664
Ni,R5_R8,R5,R8,Ni_R5_R8,-0.5718354612129694,0.0303218676247531,-0.5415135935882163,0.7949857513078188,-14.52249682154781,-14.952992412589934
Ni,R5_R9,R5,R9,Ni_R5_R9,-0.5718354612129694,0.00535366903797795,-0.5664817921749914,0.7949857513078188,-14.52249682154781,-14.972841774702244
Ni,R5_S1,R5,S1,Ni_R5_S1,-0.5718354612129694,-5.12900551759937,-5.700840978812339,0.7949857513078188,-14.52249682154781,-19.05458417017534
Ni,R5_S2,R5,S2,Ni_R5_S2,-0.5718354612129694,0.662647055369742,0.09081159415677265,0.7949857513078188,-14.52249682154781,-14.450302898139627
Ni,R5_S3,R5,S3,Ni_R5_S3,-0.5718354612129694,-0.5099752426711592,-1.0818107038841287,0.7949857513078188,-14.52249682154781,-15.382520916747975
Ni,R5_S4,R5,S4,Ni_R5_S4,-0.5718354612129694,-0.04030969745535305,-0.6121451586683224,0.7949857513078188,-14.52249682154781,-15.00914350042119
Ni,R5_S5,R5,S5,Ni_R5_S5,-0.5718354612129694,0.6168351220828026,0.0449996608698332,0.7949857513078188,-14.52249682154781,-14.486722732342608
Ni,R5_S6,R5,S6,Ni_R5_S6,-0.5718354612129694,-0.40730844598800536,-0.9791439072009747,0.7949857513078188,-14.52249682154781,-15.30090227625245
Ni,R6_R7,R6,R7,Ni_R6_R7,-0.561717064835037,-1.55002389887471,-2.111740963709747,0.7949857513078188,-14.52249682154781,-16.2013007981501
Ni,R6_R8,R6,R8,Ni_R6_R8,-0.561717064835037,0.0303218676247531,-0.5313951972102839,0.7949857513078188,-14.52249682154781,-14.944948431643393
Ni,R6_R9,R6,R9,Ni_R6_R9,-0.561717064835037,0.00535366903797795,-0.5563633957970591,0.7949857513078188,-14.52249682154781,-14.964797793755704
Ni,R6_S1,R6,S1,Ni_R6_S1,-0.561717064835037,-5.12900551759937,-5.6907225824344065,0.7949857513078188,-14.52249682154781,-19.046540189228796
Ni,R6_S2,R6,S2,Ni_R6_S2,-0.561717064835037,0.662647055369742,0.10092999053470497,0.7949857513078188,-14.52249682154781,-14.442258917193087
Ni,R6_S3,R6,S3,Ni_R6_S3,-0.561717064835037,-0.5099752426711592,-1.0716923075061962,0.7949857513078188,-14.52249682154781,-15.374476935801432
Ni,R6_S4,R6,S4,Ni_R6_S4,-0.561717064835037,-0.04030969745535305,-0.6020267622903901,0.7949857513078188,-14.52249682154781,-15.00109951947465
Ni,R6_S5,R6,S5,Ni_R6_S5,-0.561717064835037,0.6168351220828026,0.05511805724776553,0.7949857513078188,-14.52249682154781,-14.478678751396068
Ni,R6_S6,R6,S6,Ni_R6_S6,-0.561717064835037,-0.40730844598800536,-0.9690255108230423,0.7949857513078188,-14.52249682154781,-15.292858295305908
Ni,R7_R8,R7,R8,Ni_R7_R8,-1.55002389887471,0.0303218676247531,-1.5197020312499567,0.7949857513078188,-14.52249682154781,-15.730638282625074
Ni,R7_R9,R7,R9,Ni_R7_R9,-1.55002389887471,0.00535366903797795,-1.544670229836732,0.7949857513078188,-14.52249682154781,-15.750487644737385
Ni,R7_S1,R7,S1,Ni_R7_S1,-1.55002389887471,-5.12900551759937,-6.67902941647408,0.7949857513078188,-14.52249682154781,-19.83223004021048
Ni,R7_S2,R7,S2,Ni_R7_S2,-1.55002389887471,0.662647055369742,-0.8873768435049679,0.7949857513078188,-14.52249682154781,-15.227948768174768
Ni,R7_S3,R7,S3,Ni_R7_S3,-1.55002389887471,-0.5099752426711592,-2.059999141545869,0.7949857513078188,-14.52249682154781,-16.160166786783115
Ni,R7_S4,R7,S4,Ni_R7_S4,-1.55002389887471,-0.04030969745535305,-1.5903335963300629,0.7949857513078188,-14.52249682154781,-15.78678937045633
Ni,R7_S5,R7,S5,Ni_R7_S5,-1.55002389887471,0.6168351220828026,-0.9331887767919074,0.7949857513078188,-14.52249682154781,-15.264368602377749
