Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Pd,R3_R6,R3,R6,Pd_R3_R6,19.95471326932538,-0.1765572858634142,19.778155983461968,0.5794859504566918,-29.4447663346112,-17.983602816254034
Pd,R3_R7,R3,R7,Pd_R3_R7,19.95471326932538,0.31307883173711387,20.267792101062497,0.5794859504566918,-29.4447663346112,-17.699865565268368
Pd,R3_R8,R3,R8,Pd_R3_R8,19.95471326932538,10.3478936396416,30.30260690896698,0.5794859504566918,-29.4447663346112,-11.884831368652954
Pd,R3_R9,R3,R9,Pd_R3_R9,19.95471326932538,13.723859477181083,33.67857274650646,0.5794859504566918,-29.4447663346112,-9.928506596577066
Pd,R3_S1,R3,S1,Pd_R3_S1,19.95471326932538,14.866904415760592,34.821617685085975,0.5794859504566918,-29.4447663346112,-9.266128113929604
Pd,R3_S2,R3,S2,Pd_R3_S2,19.95471326932538,-4.532983594283895,15.421729675041487,0.5794859504566918,-29.4447663346112,-20.50809065618361
Pd,R3_S3,R3,S3,Pd_R3_S3,19.95471326932538,-9.072089386446372,10.88262388287901,0.5794859504566918,-29.4447663346112,-23.13843869037836
Pd,R3_S4,R3,S4,Pd_R3_S4,19.95471326932538,-8.232887404129688,11.721825865195694,0.5794859504566918,-29.4447663346112,-22.65213293203044
Pd,R3_S5,R3,S5,Pd_R3_S5,19.95471326932538,0.0401816295133296,19.994894898838712,0.5794859504566918,-29.4447663346112,-17.85800565987599
Pd,R3_S6,R3,S6,Pd_R3_S6,19.95471326932538,-8.841235349302753,11.113477920022628,0.5794859504566918,-29.4447663346112,-23.004662019247426
Pd,R4_R5,R4,R5,Pd_R4_R5,0.2370714737056329,-1.3445142333640794,-1.1074427596584464,0.5794859504566918,-29.4447663346112,-30.086513854768256
Pd,R4_R6,R4,R6,Pd_R4_R6,0.2370714737056329,-0.1765572858634142,0.06051418784221868,0.5794859504566918,-29.4447663346112,-29.409699212953335
Pd,R4_R7,R4,R7,Pd_R4_R7,0.2370714737056329,0.31307883173711387,0.5501503054427468,0.5794859504566918,-29.4447663346112,-29.12596196196767
Pd,R4_R8,R4,R8,Pd_R4_R8,0.2370714737056329,10.3478936396416,10.584965113347232,0.5794859504566918,-29.4447663346112,-23.310927765352254
Pd,R4_R9,R4,R9,Pd_R4_R9,0.2370714737056329,13.723859477181083,13.960930950886716,0.5794859504566918,-29.4447663346112,-21.354602993276366
Pd,R4_S1,R4,S1,Pd_R4_S1,0.2370714737056329,14.866904415760592,15.103975889466225,0.5794859504566918,-29.4447663346112,-20.692224510628904
Pd,R4_S2,R4,S2,Pd_R4_S2,0.2370714737056329,-4.532983594283895,-4.2959121205782616,0.5794859504566918,-29.4447663346112,-31.934187052882915
Pd,R4_S3,R4,S3,Pd_R4_S3,0.2370714737056329,-9.072089386446372,-8.835017912740739,0.5794859504566918,-29.4447663346112,-34.564535087077665
Pd,R4_S4,R4,S4,Pd_R4_S4,0.2370714737056329,-8.232887404129688,-7.995815930424055,0.5794859504566918,-29.4447663346112,-34.07822932872974
Pd,R4_S5,R4,S5,Pd_R4_S5,0.2370714737056329,0.0401816295133296,0.27725310321896246,0.5794859504566918,-29.4447663346112,-29.284102056575293
Pd,R4_S6,R4,S6,Pd_R4_S6,0.2370714737056329,-8.841235349302753,-8.60416387559712,0.5794859504566918,-29.4447663346112,-34.43075841594673
Pd,R5_R6,R5,R6,Pd_R5_R6,-1.3445142333640794,-0.1765572858634142,-1.5210715192274935,0.5794859504566918,-29.4447663346112,-30.326205909643345
Pd,R5_R7,R5,R7,Pd_R5_R7,-1.3445142333640794,0.31307883173711387,-1.0314354016269656,0.5794859504566918,-29.4447663346112,-30.04246865865768
Pd,R5_R8,R5,R8,Pd_R5_R8,-1.3445142333640794,10.3478936396416,9.00337940627752,0.5794859504566918,-29.4447663346112,-24.227434462042265
Pd,R5_R9,R5,R9,Pd_R5_R9,-1.3445142333640794,13.723859477181083,12.379345243817003,0.5794859504566918,-29.4447663346112,-22.271109689966377
